Season,Date,DAP,PlotID,Block,Treatment,LI,daily_td,DAE,cumtd_DAP,cumtd_DAE,DATI,cumtd_DATI
2024,2024-06-07,25,1,1,HTI,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,2,1,AC,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,3,1,HE,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,4,2,AC,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,5,2,HTI,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,6,2,HE,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,7,3,HE,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,8,3,HTI,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,9,3,AC,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,10,4,AC,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,11,4,HE,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-07,25,12,4,HTI,0,0.457001285117713,0,12.9586749212809,0.457001285117713,-17,
2024,2024-06-27,45,1,1,HTI,0.18,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,2,1,AC,0.181958881076124,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,3,1,HE,0.127185431944196,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,4,2,AC,0.156864907791406,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,5,2,HTI,0.0686116182184152,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,6,2,HE,0.131858566888183,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,7,3,HE,0.37173536981562,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,8,3,HTI,0.0519839289798126,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,9,3,AC,0.163305735375385,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,10,4,AC,0.261296348133155,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,11,4,HE,0.321638633097354,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-06-27,45,12,4,HTI,0.131439166916392,0.820202978883891,20,23.3602882973914,10.8586146612282,3,3.14342730268274
2024,2024-07-04,52,1,1,HTI,0.663129340625852,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,2,1,AC,0.434367576700458,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,3,1,HE,0.492942082299598,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,4,2,AC,0.429321240225496,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,5,2,HTI,0.350246939406618,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,6,2,HE,0.573333333333333,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,7,3,HE,0.713963380885215,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,8,3,HTI,0.136244892793868,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,9,3,AC,0.341818314430546,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,10,4,AC,0.448252573508503,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,11,4,HE,0.517123932992896,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-04,52,12,4,HTI,0.343892777513798,0.560547749756601,27,27.4736008593875,14.9719272232242,10,7.25673986467883
2024,2024-07-11,59,1,1,HTI,0.854573244973214,0.676468014753392,34,32.0046649938742,19.502991357711,17,11.7878039991656
2024,2024-07-11,59,2,1,AC,0.715541885290393,0.676468014753392,34,32.0046649938742,19.502991357711,17,11.7878039991656
2024,2024-07-11,59,3,1,HE,0.73646040741308,0.676468014753392,34,32.0046649938742,19.502991357711,17,11.7878039991656
2024,2024-07-11,59,4,2,AC,0.676518367264827,0.676468014753392,34,32.0046649938742,19.502991357711,17,11.7878039991656
