Block,Treatment,PlotID,shape,scale
1,AC,2,6.82098739474263,60.9138386078756
2,AC,4,7.75293350853838,61.7130991102952
3,AC,9,8.20425440491398,60.9981099049135
4,AC,10,6.68376865786668,62.7033713504918
1,HB,1,8.18427966117506,62.3601437393017
2,HB,5,8.16102213456149,56.6565203819529
4,HB,12,9.41114922227103,58.0506973847337
1,HTI,3,9.55654183913366,50.9259931987796
2,HTI,6,8.63601667612881,53.1438579799518
3,HTI,7,7.37903274271345,54.6855744287643
4,HTI,11,7.40295426615441,56.5162158961573
